date,time,temperature,humidity,mq2_Smoke,mq5_CH4,mq5_LPG,mq7_CO,M_fire,M_gas,Warning_fire,Warning_gas,Detailed_Analysis_Fire,Detailed_Analysis_Gas,Mode,Relay1,Relay2,Relay3,Relay4,
3/11/2025,0:29:05,29.581,69.979,15.66033,26.53075,18.64908,13.31148,12.66672,0.97724,An toan,An toan,"Nhi?t ?? 29.6?C, ?? ?m 70.0%, Kh? CO th?p (13.3 ppm), M?c ch?y: An to?n","Kh? CH4 (26.5 ppm), LPG (18.6 ppm), CO (13.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:30:04,30.998,75.796,15.52825,26.94223,17.74301,13.53904,15.41586,0.25888,An toan,An toan,"Nhi?t ?? 31.0?C, ?? ?m 75.8%, Kh? CO th?p (13.5 ppm), M?c ch?y: An to?n","Kh? CH4 (26.9 ppm), LPG (17.7 ppm), CO (13.5 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:33:36,29.821,69.985,14.73588,25.36372,19.06884,13.3124,18.89766,0.31428,An toan,An toan,"Nhi?t ?? 29.8?C, ?? ?m 70.0%, Kh? CO th?p (13.3 ppm), M?c ch?y: An to?n","Kh? CH4 (25.4 ppm), LPG (19.1 ppm), CO (13.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:38:02,29.97,79.781,14.16512,24.62829,18.57739,14.28498,22.5517,0.68504,An toan,An toan,"Nhi?t ?? 30.0?C, ?? ?m 79.8%, Kh? CO th?p (14.3 ppm), M?c ch?y: An to?n","Kh? CH4 (24.6 ppm), LPG (18.6 ppm), CO (14.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:42:53,29.124,76.491,14.771,24.05526,17.58529,14.10186,16.85897,0.38345,An toan,An toan,"Nhi?t ?? 29.1?C, ?? ?m 76.5%, Kh? CO th?p (14.1 ppm), M?c ch?y: An to?n","Kh? CH4 (24.1 ppm), LPG (17.6 ppm), CO (14.1 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:43:10,29.864,76.194,14.94474,26.93018,17.2223,14.53421,24.47884,0.97551,An toan,An toan,"Nhi?t ?? 29.9?C, ?? ?m 76.2%, Kh? CO th?p (14.5 ppm), M?c ch?y: An to?n","Kh? CH4 (26.9 ppm), LPG (17.2 ppm), CO (14.5 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:49:23,29.59,75.564,14.73754,26.79701,19.61623,13.50015,11.44358,0.46018,An toan,An toan,"Nhi?t ?? 29.6?C, ?? ?m 75.6%, Kh? CO th?p (13.5 ppm), M?c ch?y: An to?n","Kh? CH4 (26.8 ppm), LPG (19.6 ppm), CO (13.5 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:49:33,30.435,72.945,15.9803,26.14025,18.72624,14.04403,20.47471,0.36363,An toan,An toan,"Nhi?t ?? 30.4?C, ?? ?m 72.9%, Kh? CO th?p (14.0 ppm), M?c ch?y: An to?n","Kh? CH4 (26.1 ppm), LPG (18.7 ppm), CO (14.0 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:49:48,29.662,73.974,14.89634,25.3131,18.02113,13.34333,24.39181,0.58047,An toan,An toan,"Nhi?t ?? 29.7?C, ?? ?m 74.0%, Kh? CO th?p (13.3 ppm), M?c ch?y: An to?n","Kh? CH4 (25.3 ppm), LPG (18.0 ppm), CO (13.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:54:41,30.569,74.167,14.3262,24.11886,19.5992,13.71425,25.11439,0.91068,An toan,An toan,"Nhi?t ?? 30.6?C, ?? ?m 74.2%, Kh? CO th?p (13.7 ppm), M?c ch?y: An to?n","Kh? CH4 (24.1 ppm), LPG (19.6 ppm), CO (13.7 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:00:28,29.55,69.187,15.72927,25.25605,17.04017,13.49859,27.87101,0.87562,An toan,An toan,"Nhi?t ?? 29.6?C, ?? ?m 69.2%, Kh? CO th?p (13.5 ppm), M?c ch?y: An to?n","Kh? CH4 (25.3 ppm), LPG (17.0 ppm), CO (13.5 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:05:35,30.923,76.695,14.92146,24.72075,18.10488,13.29864,19.58478,0.29765,An toan,An toan,"Nhi?t ?? 30.9?C, ?? ?m 76.7%, Kh? CO th?p (13.3 ppm), M?c ch?y: An to?n","Kh? CH4 (24.7 ppm), LPG (18.1 ppm), CO (13.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:05:44,30.912,78.226,15.52076,25.41311,17.62256,14.93252,18.31457,0.47843,An toan,An toan,"Nhi?t ?? 30.9?C, ?? ?m 78.2%, Kh? CO th?p (14.9 ppm), M?c ch?y: An to?n","Kh? CH4 (25.4 ppm), LPG (17.6 ppm), CO (14.9 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:05:54,29.268,73.33,15.20427,26.01486,17.48596,14.86781,28.86624,0.91918,An toan,An toan,"Nhi?t ?? 29.3?C, ?? ?m 73.3%, Kh? CO th?p (14.9 ppm), M?c ch?y: An to?n","Kh? CH4 (26.0 ppm), LPG (17.5 ppm), CO (14.9 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:05:57,30.078,79.358,15.59887,25.63256,18.66951,13.37693,23.28625,0.60798,An toan,An toan,"Nhi?t ?? 30.1?C, ?? ?m 79.4%, Kh? CO th?p (13.4 ppm), M?c ch?y: An to?n","Kh? CH4 (25.6 ppm), LPG (18.7 ppm), CO (13.4 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:09:52,30.352,71.669,14.24299,24.53321,18.57724,13.07651,29.31133,0.49565,An toan,An toan,"Nhi?t ?? 30.4?C, ?? ?m 71.7%, Kh? CO th?p (13.1 ppm), M?c ch?y: An to?n","Kh? CH4 (24.5 ppm), LPG (18.6 ppm), CO (13.1 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:10:14,30.731,79.589,15.79558,25.27498,17.71314,13.18593,18.72741,0.67742,An toan,An toan,"Nhi?t ?? 30.7?C, ?? ?m 79.6%, Kh? CO th?p (13.2 ppm), M?c ch?y: An to?n","Kh? CH4 (25.3 ppm), LPG (17.7 ppm), CO (13.2 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:18:30,30.566,71.285,15.42427,25.20128,17.01081,14.6258,13.98106,0.86394,An toan,An toan,"Nhi?t ?? 30.6?C, ?? ?m 71.3%, Kh? CO th?p (14.6 ppm), M?c ch?y: An to?n","Kh? CH4 (25.2 ppm), LPG (17.0 ppm), CO (14.6 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:21:28,29.308,71.411,15.14067,25.29798,18.57121,14.21912,26.31896,0.87354,An toan,An toan,"Nhi?t ?? 29.3?C, ?? ?m 71.4%, Kh? CO th?p (14.2 ppm), M?c ch?y: An to?n","Kh? CH4 (25.3 ppm), LPG (18.6 ppm), CO (14.2 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:23:43,30.092,75.401,14.20845,24.81215,19.94919,13.18194,21.60883,0.92179,An toan,An toan,"Nhi?t ?? 30.1?C, ?? ?m 75.4%, Kh? CO th?p (13.2 ppm), M?c ch?y: An to?n","Kh? CH4 (24.8 ppm), LPG (19.9 ppm), CO (13.2 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:27:49,30.665,77.177,15.85618,26.40119,18.76333,13.53318,10.50666,0.12154,An toan,An toan,"Nhi?t ?? 30.7?C, ?? ?m 77.2%, Kh? CO th?p (13.5 ppm), M?c ch?y: An to?n","Kh? CH4 (26.4 ppm), LPG (18.8 ppm), CO (13.5 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:28:11,30.224,75.402,15.13564,26.76604,18.60271,13.16959,27.57265,0.35572,An toan,An toan,"Nhi?t ?? 30.2?C, ?? ?m 75.4%, Kh? CO th?p (13.2 ppm), M?c ch?y: An to?n","Kh? CH4 (26.8 ppm), LPG (18.6 ppm), CO (13.2 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:41:06,29.319,76.58,14.54999,25.54916,19.21394,14.37831,13.71345,0.33464,An toan,An toan,"Nhi?t ?? 29.3?C, ?? ?m 76.6%, Kh? CO th?p (14.4 ppm), M?c ch?y: An to?n","Kh? CH4 (25.5 ppm), LPG (19.2 ppm), CO (14.4 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:42:05,30.368,78.023,14.23114,25.83834,19.08414,14.40838,11.59987,0.95638,An toan,An toan,"Nhi?t ?? 30.4?C, ?? ?m 78.0%, Kh? CO th?p (14.4 ppm), M?c ch?y: An to?n","Kh? CH4 (25.8 ppm), LPG (19.1 ppm), CO (14.4 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:43:58,30.901,79.198,14.80977,24.5346,18.20487,14.07079,21.7549,0.73929,An toan,An toan,"Nhi?t ?? 30.9?C, ?? ?m 79.2%, Kh? CO th?p (14.1 ppm), M?c ch?y: An to?n","Kh? CH4 (24.5 ppm), LPG (18.2 ppm), CO (14.1 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:44:42,30.973,73.591,15.64126,26.95524,19.81284,14.42981,22.3158,0.75991,An toan,An toan,"Nhi?t ?? 31.0?C, ?? ?m 73.6%, Kh? CO th?p (14.4 ppm), M?c ch?y: An to?n","Kh? CH4 (27.0 ppm), LPG (19.8 ppm), CO (14.4 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:54:39,29.345,73.557,15.88077,25.26205,19.40533,14.74694,28.2764,0.88802,An toan,An toan,"Nhi?t ?? 29.3?C, ?? ?m 73.6%, Kh? CO th?p (14.7 ppm), M?c ch?y: An to?n","Kh? CH4 (25.3 ppm), LPG (19.4 ppm), CO (14.7 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:56:27,29.035,76.083,15.62435,26.60979,18.23317,13.54315,26.21997,0.84841,An toan,An toan,"Nhi?t ?? 29.0?C, ?? ?m 76.1%, Kh? CO th?p (13.5 ppm), M?c ch?y: An to?n","Kh? CH4 (26.6 ppm), LPG (18.2 ppm), CO (13.5 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:59:47,30.884,76.022,15.34558,25.86063,18.33369,14.94132,23.23294,0.21861,An toan,An toan,"Nhi?t ?? 30.9?C, ?? ?m 76.0%, Kh? CO th?p (14.9 ppm), M?c ch?y: An to?n","Kh? CH4 (25.9 ppm), LPG (18.3 ppm), CO (14.9 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,1:59:48,29.672,78.735,14.66867,26.93759,19.84718,13.8695,16.40325,0.60357,An toan,An toan,"Nhi?t ?? 29.7?C, ?? ?m 78.7%, Kh? CO th?p (13.9 ppm), M?c ch?y: An to?n","Kh? CH4 (26.9 ppm), LPG (19.8 ppm), CO (13.9 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:01:41,30.077,72.645,14.55008,26.2151,18.88203,13.16015,17.3299,0.899,An toan,An toan,"Nhi?t ?? 30.1?C, ?? ?m 72.6%, Kh? CO th?p (13.2 ppm), M?c ch?y: An to?n","Kh? CH4 (26.2 ppm), LPG (18.9 ppm), CO (13.2 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:09:04,29.988,79.188,15.36398,24.21334,19.86278,14.32186,21.06178,0.24466,An toan,An toan,"Nhi?t ?? 30.0?C, ?? ?m 79.2%, Kh? CO th?p (14.3 ppm), M?c ch?y: An to?n","Kh? CH4 (24.2 ppm), LPG (19.9 ppm), CO (14.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:09:40,29.457,77.077,15.00849,26.73851,19.78693,13.94738,10.16813,0.52527,An toan,An toan,"Nhi?t ?? 29.5?C, ?? ?m 77.1%, Kh? CO th?p (13.9 ppm), M?c ch?y: An to?n","Kh? CH4 (26.7 ppm), LPG (19.8 ppm), CO (13.9 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:11:00,30.402,74.718,14.98616,24.54949,17.96175,13.34421,27.3679,0.29931,An toan,An toan,"Nhi?t ?? 30.4?C, ?? ?m 74.7%, Kh? CO th?p (13.3 ppm), M?c ch?y: An to?n","Kh? CH4 (24.5 ppm), LPG (18.0 ppm), CO (13.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:11:56,29.883,77.849,15.08843,24.44637,19.01841,14.99655,14.29533,0.30386,An toan,An toan,"Nhi?t ?? 29.9?C, ?? ?m 77.8%, Kh? CO th?p (15.0 ppm), M?c ch?y: An to?n","Kh? CH4 (24.4 ppm), LPG (19.0 ppm), CO (15.0 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:25:53,29.723,74.761,15.643,25.3012,18.7484,13.70306,27.62021,0.18091,An toan,An toan,"Nhi?t ?? 29.7?C, ?? ?m 74.8%, Kh? CO th?p (13.7 ppm), M?c ch?y: An to?n","Kh? CH4 (25.3 ppm), LPG (18.7 ppm), CO (13.7 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:31:08,30.659,75.354,15.32849,26.29679,19.46652,14.18932,11.46641,0.61269,An toan,An toan,"Nhi?t ?? 30.7?C, ?? ?m 75.4%, Kh? CO th?p (14.2 ppm), M?c ch?y: An to?n","Kh? CH4 (26.3 ppm), LPG (19.5 ppm), CO (14.2 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:35:10,30.37,75.737,15.08406,24.94435,19.76715,14.77951,17.69801,0.16825,An toan,An toan,"Nhi?t ?? 30.4?C, ?? ?m 75.7%, Kh? CO th?p (14.8 ppm), M?c ch?y: An to?n","Kh? CH4 (24.9 ppm), LPG (19.8 ppm), CO (14.8 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:37:00,30.906,69.578,15.58417,25.73956,17.28342,14.38094,23.47569,0.11942,An toan,An toan,"Nhi?t ?? 30.9?C, ?? ?m 69.6%, Kh? CO th?p (14.4 ppm), M?c ch?y: An to?n","Kh? CH4 (25.7 ppm), LPG (17.3 ppm), CO (14.4 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:37:04,30.941,69.169,14.69178,24.37047,18.30394,13.6625,12.20214,0.51823,An toan,An toan,"Nhi?t ?? 30.9?C, ?? ?m 69.2%, Kh? CO th?p (13.7 ppm), M?c ch?y: An to?n","Kh? CH4 (24.4 ppm), LPG (18.3 ppm), CO (13.7 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:41:22,30.638,69.303,14.58153,26.63692,19.64906,14.55522,23.55782,0.54211,An toan,An toan,"Nhi?t ?? 30.6?C, ?? ?m 69.3%, Kh? CO th?p (14.6 ppm), M?c ch?y: An to?n","Kh? CH4 (26.6 ppm), LPG (19.6 ppm), CO (14.6 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:41:35,30.631,72.575,14.86751,25.4924,19.46282,13.71003,16.67497,0.9358,An toan,An toan,"Nhi?t ?? 30.6?C, ?? ?m 72.6%, Kh? CO th?p (13.7 ppm), M?c ch?y: An to?n","Kh? CH4 (25.5 ppm), LPG (19.5 ppm), CO (13.7 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:46:24,29.812,69.834,15.35196,25.16825,18.53645,13.25576,19.28296,0.94456,An toan,An toan,"Nhi?t ?? 29.8?C, ?? ?m 69.8%, Kh? CO th?p (13.3 ppm), M?c ch?y: An to?n","Kh? CH4 (25.2 ppm), LPG (18.5 ppm), CO (13.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:51:37,30.698,69.81,14.43802,24.92316,19.99967,13.82814,24.9085,0.82534,An toan,An toan,"Nhi?t ?? 30.7?C, ?? ?m 69.8%, Kh? CO th?p (13.8 ppm), M?c ch?y: An to?n","Kh? CH4 (24.9 ppm), LPG (20.0 ppm), CO (13.8 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:52:23,29.737,69.719,14.08026,24.63491,19.73496,13.80431,18.02876,0.51326,An toan,An toan,"Nhi?t ?? 29.7?C, ?? ?m 69.7%, Kh? CO th?p (13.8 ppm), M?c ch?y: An to?n","Kh? CH4 (24.6 ppm), LPG (19.7 ppm), CO (13.8 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:53:53,30.507,75.02,15.60141,24.75808,17.41134,13.52631,22.30578,0.9564,An toan,An toan,"Nhi?t ?? 30.5?C, ?? ?m 75.0%, Kh? CO th?p (13.5 ppm), M?c ch?y: An to?n","Kh? CH4 (24.8 ppm), LPG (17.4 ppm), CO (13.5 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:54:33,29.032,76.024,15.74329,24.038,19.97366,13.70157,14.77565,0.14194,An toan,An toan,"Nhi?t ?? 29.0?C, ?? ?m 76.0%, Kh? CO th?p (13.7 ppm), M?c ch?y: An to?n","Kh? CH4 (24.0 ppm), LPG (20.0 ppm), CO (13.7 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:58:15,30.519,70.88,15.14315,26.05343,18.65479,13.99258,10.24438,0.92585,An toan,An toan,"Nhi?t ?? 30.5?C, ?? ?m 70.9%, Kh? CO th?p (14.0 ppm), M?c ch?y: An to?n","Kh? CH4 (26.1 ppm), LPG (18.7 ppm), CO (14.0 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:58:27,29.191,75.573,15.657,25.32035,19.10655,14.32682,27.63937,0.32691,An toan,An toan,"Nhi?t ?? 29.2?C, ?? ?m 75.6%, Kh? CO th?p (14.3 ppm), M?c ch?y: An to?n","Kh? CH4 (25.3 ppm), LPG (19.1 ppm), CO (14.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,2:59:05,29.029,72.841,14.76601,25.83722,19.39019,14.98679,16.99413,0.61452,An toan,An toan,"Nhi?t ?? 29.0?C, ?? ?m 72.8%, Kh? CO th?p (15.0 ppm), M?c ch?y: An to?n","Kh? CH4 (25.8 ppm), LPG (19.4 ppm), CO (15.0 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:01:34,29.939,76.227,15.93456,25.92248,17.69426,13.14834,13.58072,0.96983,An toan,An toan,"Nhi?t ?? 29.9?C, ?? ?m 76.2%, Kh? CO th?p (13.1 ppm), M?c ch?y: An to?n","Kh? CH4 (25.9 ppm), LPG (17.7 ppm), CO (13.1 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:01:42,29.285,76.089,14.62253,24.62373,19.44483,13.04018,16.30632,0.85282,An toan,An toan,"Nhi?t ?? 29.3?C, ?? ?m 76.1%, Kh? CO th?p (13.0 ppm), M?c ch?y: An to?n","Kh? CH4 (24.6 ppm), LPG (19.4 ppm), CO (13.0 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:02:37,29.812,70.056,14.37558,25.06154,18.95976,13.82641,18.42683,0.72482,An toan,An toan,"Nhi?t ?? 29.8?C, ?? ?m 70.1%, Kh? CO th?p (13.8 ppm), M?c ch?y: An to?n","Kh? CH4 (25.1 ppm), LPG (19.0 ppm), CO (13.8 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:03:52,30.903,71.042,14.66845,25.79731,18.31528,13.06926,15.20606,0.18661,An toan,An toan,"Nhi?t ?? 30.9?C, ?? ?m 71.0%, Kh? CO th?p (13.1 ppm), M?c ch?y: An to?n","Kh? CH4 (25.8 ppm), LPG (18.3 ppm), CO (13.1 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:05:45,30.122,69.681,15.74709,26.65743,19.0066,14.31805,12.43595,0.2547,An toan,An toan,"Nhi?t ?? 30.1?C, ?? ?m 69.7%, Kh? CO th?p (14.3 ppm), M?c ch?y: An to?n","Kh? CH4 (26.7 ppm), LPG (19.0 ppm), CO (14.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:08:05,30.826,75.91,14.81248,24.40607,18.39189,14.23479,28.79869,0.98342,An toan,An toan,"Nhi?t ?? 30.8?C, ?? ?m 75.9%, Kh? CO th?p (14.2 ppm), M?c ch?y: An to?n","Kh? CH4 (24.4 ppm), LPG (18.4 ppm), CO (14.2 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:09:02,30.118,73.394,15.74057,26.03219,18.86935,13.79117,25.07784,0.36846,An toan,An toan,"Nhi?t ?? 30.1?C, ?? ?m 73.4%, Kh? CO th?p (13.8 ppm), M?c ch?y: An to?n","Kh? CH4 (26.0 ppm), LPG (18.9 ppm), CO (13.8 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:12:17,30.254,75.475,14.22533,24.2459,17.33132,13.95505,24.59288,0.42183,An toan,An toan,"Nhi?t ?? 30.3?C, ?? ?m 75.5%, Kh? CO th?p (14.0 ppm), M?c ch?y: An to?n","Kh? CH4 (24.2 ppm), LPG (17.3 ppm), CO (14.0 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:12:19,30.089,78.946,14.45499,26.23675,18.68428,14.47137,17.58706,0.74064,An toan,An toan,"Nhi?t ?? 30.1?C, ?? ?m 78.9%, Kh? CO th?p (14.5 ppm), M?c ch?y: An to?n","Kh? CH4 (26.2 ppm), LPG (18.7 ppm), CO (14.5 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,3:21:47,30.968,73.963,14.56048,24.09953,18.39729,14.27335,28.28633,0.16213,An toan,An toan,"Nhi?t ?? 31.0?C, ?? ?m 74.0%, Kh? CO th?p (14.3 ppm), M?c ch?y: An to?n","Kh? CH4 (24.1 ppm), LPG (18.4 ppm), CO (14.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
