sensor,hour,median,mad,q10,q90,min,max,count
Mq2,2,159.39999999999998,10.745000000000005,140.15300000000002,178.825,103.36,207.86,900
Mq2,3,164.43,9.545000000000002,145.178,184.132,111.4,210.43,900
Mq2,4,167.435,9.799999999999997,147.38799999999998,184.952,125.97,210.28,900
Mq2,5,169.64499999999998,9.984999999999985,149.627,188.784,116.41,219.12,900
Mq2,6,168.685,9.585000000000008,149.35600000000002,188.053,121.38,216.55,900
Mq2,7,169.54,10.565000000000012,149.067,187.642,121.54,215.33,900
Mq2,8,167.85000000000002,9.870000000000005,147.299,187.202,121.11,211.32,900
Mq2,9,163.13,10.235,143.814,181.598,123.98,212.5,900
Mq2,10,159.7,10.164999999999992,142.033,179.62,114.21,205.39,900
Mq2,11,155.405,9.989999999999995,136.12,175.27100000000002,97.35,211.22,900
Mq2,12,149.725,10.344999999999999,130.625,169.666,104.0,197.17,900
Mq2,13,144.64,10.159999999999982,125.14,163.74,101.24,190.44,900
Mq2,14,139.445,10.41000000000001,119.408,158.74300000000002,91.78,190.22,900
Mq2,15,135.86,10.024999999999977,115.526,154.29,95.46,178.6,900
Mq2,16,133.235,10.484999999999992,113.80099999999999,151.643,83.72,180.69,900
Mq2,17,131.20999999999998,10.444999999999993,112.05,151.36200000000002,79.54,180.85,900
Mq2,18,129.81,9.060000000000002,111.222,150.21900000000002,91.59,181.52,900
Mq2,19,131.41,10.474999999999994,111.10000000000001,150.922,84.66,184.3,900
Mq2,20,132.28,10.485000000000007,114.289,151.858,84.16,191.03,900
Mq2,21,135.59,10.295000000000002,117.616,155.225,86.37,181.47,900
Mq2,22,140.38,10.269999999999996,121.059,159.38,92.01,197.36,900
Mq2,23,144.575,10.185000000000002,125.075,163.673,102.49,184.73,900
Mq5,0,331.21000000000004,13.469999999999999,304.381,355.946,272.06,395.76,900
Mq5,1,328.14,13.090000000000003,302.35200000000003,353.02000000000004,271.67,383.64,900
Mq5,2,326.145,13.914999999999992,300.27299999999997,352.303,245.23,378.64,900
Mq5,3,320.875,13.454999999999984,297.164,346.735,259.32,384.37,900
Mq5,4,314.225,14.099999999999994,289.74399999999997,340.265,251.02,376.14,900
Mq5,5,307.655,13.629999999999995,281.579,335.129,246.12,366.59,900
Mq5,6,299.19000000000005,13.684999999999945,273.449,325.994,241.19,368.67,900
Mq5,7,292.505,14.384999999999991,265.081,317.731,226.92,356.81,900
Mq5,8,284.0,13.639999999999986,258.43,310.364,215.95,350.35,900
Mq5,9,278.915,13.860000000000042,252.251,303.41700000000003,215.36,352.08,900
Mq5,10,274.03999999999996,14.455000000000041,248.13299999999998,300.01099999999997,217.32,337.73,900
Mq5,11,271.44500000000005,13.924999999999926,246.75300000000001,297.19,210.37,343.36,900
Mq5,12,268.905,12.929999999999978,244.684,296.382,203.44,332.29,900
Mq5,13,270.59000000000003,13.830000000000013,244.47799999999998,296.605,197.06,336.54,900
Mq5,14,273.375,13.650000000000006,247.82600000000002,301.705,214.13,345.71,900
Mq5,15,276.425,13.599999999999994,253.19799999999998,302.568,220.2,341.21,900
Mq5,16,285.45,12.259999999999991,260.823,308.56300000000005,222.45,337.27,900
Mq5,17,291.645,14.015000000000015,265.738,318.085,228.89,349.55,900
Mq5,18,300.44,13.875,274.377,324.151,239.47,379.14,900
Mq5,19,308.835,13.664999999999992,282.418,333.48,231.63,372.0,900
Mq5,20,314.505,13.469999999999999,289.198,340.603,257.0,374.74,900
Mq5,21,322.505,13.689999999999998,296.5,349.92600000000004,260.37,391.74,900
Mq5,22,325.31500000000005,13.175000000000011,300.637,350.39,271.52,390.63,900
Mq5,23,329.76,12.545000000000016,304.288,353.562,265.68,391.62,900
Mq9,0,179.68,6.490000000000009,167.63899999999998,192.76,144.92,208.34,900
Mq9,1,179.125,6.594999999999999,167.37599999999998,192.191,151.15,211.61,900
Mq9,2,179.88,7.094999999999999,167.01700000000002,193.172,147.21,212.1,900
Mq9,3,179.985,7.11999999999999,166.58,192.92,147.77,210.4,900
Mq9,4,180.17,6.730000000000004,167.16,193.42,148.51,207.64,900
Mq9,5,179.74,6.800000000000011,167.046,192.875,145.82,217.58,900
Mq9,6,180.185,6.305000000000007,167.779,192.41,152.59,217.12,900
Mq9,7,179.615,6.2949999999999875,166.186,191.7,147.65,205.01,900
Mq9,8,180.32,6.8999999999999915,166.88899999999998,193.265,147.97,207.08,900
Mq9,9,180.34,7.150000000000006,166.892,192.93,148.36,214.28,900
Mq9,10,179.55,6.105000000000004,166.955,191.991,147.57,210.45,900
Mq9,11,179.66500000000002,6.930000000000021,166.109,192.532,149.96,207.56,900
Mq9,12,180.04500000000002,7.2450000000000045,166.439,194.145,150.18,211.06,900
Mq9,13,179.49,7.230000000000004,166.379,192.05300000000003,148.57,211.07,900
Mq9,14,180.29,6.820000000000022,167.371,192.51999999999998,149.35,207.75,900
Mq9,15,179.015,6.684999999999988,166.582,192.891,143.64,212.79,900
Mq9,16,179.985,6.4199999999999875,168.278,192.481,149.95,211.61,900
Mq9,17,179.64499999999998,6.49499999999999,167.91199999999998,192.547,150.31,214.14,900
Mq9,18,179.26999999999998,7.215000000000018,166.80700000000002,192.589,150.46,207.8,900
Mq9,19,180.245,6.614999999999995,167.18,193.667,146.66,215.11,900
Mq9,20,179.64,7.275000000000006,167.805,193.015,151.57,212.83,900
Mq9,21,180.125,6.564999999999998,167.306,192.746,148.64,210.63,900
Mq9,22,180.60500000000002,6.974999999999994,166.493,192.665,145.35,211.91,900
Mq9,23,179.95999999999998,6.445000000000022,167.19500000000002,192.27,148.99,210.74,900
